"Task Repositories","Mark Task Read and Go To Previous Unread Task","Shift+Alt+Up","In Tasks View"
"Edit","Matching Tag","Shift+Ctrl+>","Editing in Structured Text Editors"
"Navigate","Open Type","Shift+Ctrl+T","In Windows"
"Navigate","Open Task","Ctrl+F12","In Windows"
"C/C++ Source","Toggle Source/Header","Ctrl+Tab","C/C++ Editor"
"Text Editing","Zoom In","Ctrl++","Editing Text"
"Views","Show View ()","Shift+Alt+Q T","In Windows"
"Edit","Toggle Block Selection","Shift+Alt+A","Editing Text"
"Navigate","Go to Previous Member","Shift+Ctrl+Up","Editing Java Source"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Java Source"
"Terminal view commands","Quick Access","Alt+Right","Terminal Control in Focus"
"Source","Quick Assist - Assign to local variable","Ctrl+2 L","Editing JavaScript Source"
"C/C++ Source","Go to Matching Bracket","Shift+Ctrl+P","C/C++ Editor"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Edit","Toggle Insert Mode","Shift+Ctrl+Insert","Editing Text"
"Refactor - C++","Toggle Function - Refactoring ","Shift+Alt+T","C/C++ Editor"
"Navigate","Quick Outline","Ctrl+O","PDE editor"
"Navigate","Previous Page","Shift+Alt+F7","In Windows"
"Server","Run","Ctrl+Alt+R","In Servers View"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Refactor - C++","Extract Function - Refactoring ","Shift+Alt+M","C/C++ Editor"
"Navigate","Open Type Hierarchy","F4","JavaScript View"
"WindowBuilder Pro","Switch Source/Design Views","F12","Editing Text"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"C/C++ Source","Back","Alt+Left","In Macro Expansion Hover"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing JavaScript Source"
"Task Editor","Maximize Part","Shift+Ctrl+M","In Tasks Editor"
"Edit","Incremental Find Reverse","Shift+Ctrl+J","Editing Text"
"File","New","Ctrl+N","In Windows"
"Project","Build Target Build","Shift+F9","In Windows"
"Refactor - Java","Rename - Refactoring ","Shift+Alt+R","In Windows"
"Edit","Word Completion","Alt+/","Editing Text"
"Navigate","Quick Hierarchy","Ctrl+T","Editing JavaScript Source"
"C/C++ Source","Format","Shift+Ctrl+F","C/C++ Editor"
"Run/Debug","Skip All Breakpoints","Ctrl+Alt+B","In Windows"
"Source","Surround With Quick Menu","Shift+Alt+Z","In Windows"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Makefile Source","Toggle Comment","Ctrl+/","Makefile Editor"
"Window","Toggle Split Editor (Vertical)","Ctrl+{","In Windows"
"Terminal view commands","Terminal view insert","Alt+S","Terminal Typing Connected"
"Server","Stop","Ctrl+Alt+S","In Servers View"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Refactor - C++","Rename - Refactoring ","Shift+Alt+R","In C/C++ Views"
"Views","Show View (Variables)","Shift+Alt+Q V","In Windows"
"Run/Debug","Previous Page of Memory","Shift+Ctrl+,","In Table Memory Rendering"
"Text Editing","Line Start","Home","Editing Text"
"Task Repositories","Mark Task Unread","Shift+Alt+U","In Tasks View"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"Edit","Find Previous","Shift+Ctrl+K","Editing Text"
"Run/Debug","Go to Program Counter","Home","In Disassembly"
"Edit","Remove Block Comment","Shift+Ctrl+\","Editing in Structured Text Editors"
"Edit","Add Block Comment","Shift+Ctrl+/","Editing in Structured Text Editors"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing in Structured Text Editors"
"C/C++ Source","Open Declaration","F3","In C/C++ Views"
"Source","Quick Assist - Assign to local variable","Ctrl+2 L","Editing Java Source"
"Refactor - Java","Move - Refactoring ","Shift+Alt+V","In Windows"
"C/C++ Source","Show outline","Ctrl+O","C/C++ Editor"
"Window","Show System Menu","Alt+-","In Windows"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"Text Editing","Select Line End","Shift+End","Editing Text"
"Window","Previous Perspective","Shift+Ctrl+F8","In Windows"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Edit","Move","Shift+Alt+V","Editing JSP Source"
"Views","Show View (Breakpoints)","Shift+Alt+Q B","In Windows"
"Window","Switch to Editor","Shift+Ctrl+E","In Windows"
"Run/Debug","Run JUnit Plug-in Test","Shift+Alt+X P","In Windows"
"C/C++ Source","Declaration","Ctrl+G","In C/C++ Views"
"Task Repositories","Quick Outline","Ctrl+O","In Tasks Editor"
"C/C++ Source","Show Source Quick Menu","Shift+Alt+S","C/C++ Editor"
"Task Repositories","Mark Task Unread","Shift+Alt+U","In Tasks Editor"
"C/C++ Source","Add Block Comment","Shift+Ctrl+/","C/C++ Editor"
"C/C++ Source","Remove Block Comment","Shift+Ctrl+\","C/C++ Editor"
"Edit","Find Next","Ctrl+K","Editing Text"
"Reverse Debugging Commands","Reverse Resume","Shift+F8","Debugging C/C++"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Spy","Plug-in Selection Spy","Shift+Alt+F1","In Dialogs and Windows"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"Source","Toggle Mark Occurrences","Shift+Alt+O","Editing JavaScript Source"
"Window","Show Key Assist","Shift+Ctrl+L","In Dialogs and Windows"
"Terminal view commands","Terminal view insert","Alt+F","Terminal Typing Connected"
"Reverse Debugging Commands","Reverse Step Over","Shift+F6","Debugging C/C++"
"File","Print","Ctrl+P","In Windows"
"Run/Debug","Run Eclipse Application","Shift+Alt+X E","In Windows"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","In Windows"
"Edit","Select Previous Element","Shift+Alt+Left","Editing JavaScript Source"
"Run/Debug","Resume","F8","Debugging"
"Run/Debug","Inspect","Shift+Ctrl+I","Chromium Debug"
"File","Close","Ctrl+W","In Windows"
"Reverse Debugging Commands","Uncall","Shift+F7","Debugging C/C++"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing JavaScript Source"
"Source","Format","Shift+Ctrl+F","Editing JavaScript Source"
"Views","Show View (Outline)","Shift+Alt+Q O","In Windows"
"Edit","Occurrences in File","Shift+Ctrl+A","Editing in Structured Text Editors"
"Source","Toggle Mark Occurrences","Shift+Alt+O","Editing Java Source"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"Text Editing","Insert Line Above Current Line","Shift+Ctrl+Enter","Editing Text"
"Run/Debug","All Instances","Shift+Ctrl+N","In Windows"
"Search","References in Workspace","Shift+Ctrl+G","JavaScript View"
"C/C++ Source","Surround With Quick Menu","Shift+Alt+Z","C/C++ Editor"
"Terminal view commands","Terminal view insert","Alt+C","Terminal Typing Connected"
"Run/Debug","Coverage Scala Application","Shift+Alt+E L","In Windows"
"File","Close All","Shift+Ctrl+W","In Windows"
"Navigate","Go to Next Member","Shift+Ctrl+Down","Editing JavaScript Source"
"Android Refactorings","Extract Android String","Shift+Alt+A S","In Windows"
"Text Editing","Text End","Ctrl+End","Editing Text"
"Navigate","Backward History","Alt+Left","In Windows"
"Navigate","Open Resource","Shift+Ctrl+R","In Windows"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging C/C++"
"Navigate","Open External JSDoc","Shift+F2","JavaScript View"
"Run/Debug","Coverage Eclipse Application","Shift+Alt+E E","In Windows"
"Git","Paste Repository Path or URI","Ctrl+V","In Git Repositories View"
"Run/Debug","Run","Ctrl+F11","In Windows"
"Task Editor","Submit Task","Shift+Alt+S","In Tasks Editor"
"Source","Annotate Class File","Ctrl+1","Browsing attached Java Source"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Git","Commit...","Ctrl+#","In Windows"
"Views","JavaScript Declaration","Shift+Alt+Q D","JavaScript View"
"JavaScript Debug","JavaScript Breakpoint Properties","Ctrl+Enter","In Breakpoints View"
"Refactor - Java","Show Refactor Quick Menu","Shift+Alt+T","In Windows"
"Refactor - JavaScript","Extract Function","Shift+Alt+M","JavaScript View"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Refactor - Java","Extract Local Variable","Shift+Alt+L","In Windows"
"Run/Debug","Debug JUnit Plug-in Test","Shift+Alt+D P","In Windows"
"Project","Build All","Ctrl+B","In Windows"
"Window","Show Contributing Plug-in","Shift+Alt+F3","In Dialogs and Windows"
"Run/Debug","Debug XSLT Transformation","Shift+Alt+D X","In Windows"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"C/C++ Source","Quick Type Hierarchy","Ctrl+T","C/C++ Editor"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"Terminal view commands","Terminal view insert","Alt+W","Terminal Typing Connected"
"Run/Debug","Coverage JUnit Plug-in Test","Shift+Alt+E P","In Windows"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Text Editing","To Lower Case","Shift+Ctrl+Y","Editing Text"
"Search","Show Occurrences in File Quick Menu","Ctrl+Alt+U","In Windows"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"Run/Debug","Coverage RAP JUnit Test","Shift+Alt+E R","In Windows"
"Edit","Format Active Elements","Ctrl+I","Editing in Structured Text Editors"
"Text Editing","Delete Line","Ctrl+D","Editing Text"
"Navigate","Open Type Hierarchy","F4","C/C++ Editor"
"Source","Remove Occurrence Annotations","Shift+Alt+U","Editing JavaScript Source"
"Refactor - Java","Inline","Shift+Alt+I","In Windows"
"Task Repositories","Mark Task Complete","Shift+Alt+C","In Tasks View"
"Views","Show View (Search)","Shift+Alt+Q S","In Windows"
"Navigate","Next","Ctrl+.","In Windows"
"Run/Debug","Debug Ant Build","Shift+Alt+D Q","In Windows"
"Navigate","Quick Outline","Shift+Ctrl+O","Task Markup Editor Source Context"
"Window","Toggle Split Editor (Horizontal)","Ctrl+_","In Windows"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Run/Debug","Toggle Breakpoint","Shift+Ctrl+B","In Windows"
"Navigate","Open Type","Shift+Ctrl+T","Editing JavaScript Source"
"Views","Show View (Error Log)","Shift+Alt+Q L","In Windows"
"Refactor - JavaScript","Change Function Signature","Shift+Alt+C","JavaScript View"
"C/C++ Source","Explore Macro Expansion","Ctrl+#","C/C++ Editor"
"Navigate","Search Repository for Task","Shift+Ctrl+F12","In Windows"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text"
"Edit","Select Enclosing C/C++ Element","Shift+Alt+Up","C/C++ Editor"
"Edit","Quick Fix","Ctrl+Enter","In Dialogs and Windows"
"C/C++ Source","Forward","Alt+Right","In Macro Expansion Hover"
"Terminal view commands","Paste","Shift+Insert","Terminal Control in Focus"
"Views","JavaScript Script Explorer","Shift+Alt+Q P","JavaScript View"
"Run/Debug","Debug Java Application","Shift+Alt+D J","In Windows"
"Run/Debug","Debug OSGi Framework","Shift+Alt+D O","In Windows"
"C/C++ Source","Open Declaration","F3","In Macro Expansion Hover"
"Git","Copy Path to Clipboard","Ctrl+C","In Git Repositories View"
"Terminal view commands","Maximize Active View or Editor","Alt+Up","Terminal Control in Focus"
"Navigate","Collapse All","Shift+Ctrl+Numpad_Divide","In Windows"
"Navigate","Open Remote Task","Shift+Ctrl+Alt+F12","In Windows"
"Terminal view commands","Terminal view insert","Alt+L","Terminal Typing Connected"
"Navigate","Go to Matching Bracket","Shift+Ctrl+P","Editing Java Source"
"Window","Activate Editor","F12","In Windows"
"Edit","Add Maven Dependency","Shift+Ctrl+D","Editing XML Source"
"Views","Documentation","Shift+Alt+Q J","JavaScript View"
"C/C++ Source","Open Element","Shift+Ctrl+T","In C/C++ Views"
"File","Save","Ctrl+S","In Windows"
"Source","Remove Occurrence Annotations","Shift+Alt+U","Editing Java Source"
"Navigate","Deactivate Task","Shift+Ctrl+F9","In Windows"
"JavaScript Debug","Open Source","Shift+Ctrl+3","Debugging"
"Run/Debug","Run Gradle Test","Ctrl+Alt+X G","In Windows"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"Terminal view commands","Terminal view insert","Alt+D","Terminal Typing Connected"
"Run/Debug","Debug JUnit Test","Shift+Alt+D T","In Windows"
"Edit","Select Previous C/C++ Element","Shift+Alt+Left","C/C++ Editor"
"Source","Add JSDoc Comment","Shift+Alt+J","JavaScript View"
"Terminal view commands","Terminal view insert","Alt+H","Terminal Typing Connected"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In C/C++ Views"
"Source","Toggle Ant Mark Occurrences","Shift+Alt+O","Editing Ant Buildfiles"
"Views","Show View (Package Explorer)","Shift+Alt+Q P","In Windows"
"Navigate","Quick Outline","Ctrl+O","Editing JavaScript Source"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","JavaScript View"
"Task Repositories","Mark Task Read","Shift+Alt+R","In Tasks Editor"
"Refactor - C++","Extract Constant - Refactoring ","Alt+C","C/C++ Editor"
"Run/Debug","Coverage Java Application","Shift+Alt+E J","In Windows"
"Search","Declaration in Workspace","Ctrl+G","JavaScript View"
"Source","Remove Block Comment","Shift+Ctrl+\","Editing Java Source"
"Window","Toggle Full Screen","Alt+F11","In Windows"
"Navigate","Quick Outline","Ctrl+O","WikiText Markup Source Context"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Window","Next View","Ctrl+F7","In Windows"
"Refactor - Java","Change Method Signature","Shift+Alt+C","In Windows"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"Run/Debug","Run Android Application","Shift+Alt+A R","In Windows"
"WindowBuilder Pro","Empty command","Shift+Ctrl+A","WindowBuilder Java scope"
"Source","Snipmatch Snippet Completion","Ctrl+Alt+Space","Editing Text"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"Source","Toggle Comment","Ctrl+/","Editing JavaScript Source"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Window","Quick Access","Ctrl+3","In Windows"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editing Java Source"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Navigate","Open Structure","Ctrl+F3","Editing JavaScript Source"
"Edit","Select Next Element","Shift+Alt+Right","Editing Java Source"
"Source","Quick Assist - Extract method","Ctrl+2 M","Editing Java Source"
"Focused UI","Show Context Quick View","Shift+Ctrl+Alt+Right","In Windows"
"Run/Debug","Debug Android Application","Shift+Alt+A D","In Windows"
"Task Repositories","New Local Task","Insert","In Tasks View"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Views","Refresh View (Gradle Tasks)","F5","In Gradle Tasks View"
"File","Save All","Shift+Ctrl+S","In Windows"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"C/C++ Source","Organize Includes","Shift+Ctrl+O","C/C++ Editor"
"Navigate","Open Type Hierarchy","F4","In C/C++ Views"
"Views","Show View ()","Shift+Alt+Q D","In Windows"
"Source","Add Block Comment","Shift+Ctrl+/","Editing JavaScript Source"
"WindowBuilder Pro","Empty command","Ctrl+Alt+A","WindowBuilder Java scope"
"Navigate","Open Maven POM","Shift+Alt+P","In Windows"
"Task Repositories","Open Selected Task","Ctrl+Enter","In Tasks View"
"Run/Debug","Debug Java Applet","Shift+Alt+D A","In Windows"
"Run/Debug","Run OSGi Framework","Shift+Alt+X O","In Windows"
"C/C++ Source","Add Include","Shift+Ctrl+N","C/C++ Editor"
"C/C++ Source","Sort Lines","Ctrl+Alt+S","C/C++ Editor"
"Source","Organize Imports","Shift+Ctrl+O","JavaScript View"
"Source","Open Declaration","F3","Editing Ant Buildfiles"
"Edit","Select Previous Element","Shift+Alt+Left","Editing Java Source"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Run/Debug","Go to Address...","Ctrl+G","In Disassembly"
"Uncategorized","Copy SHA-1","Ctrl+C","In Git Reflog View"
"Run/Debug","Coverage TestNG Test","Shift+Alt+E N","In Windows"
"Run/Debug","Run Ant Build","Shift+Alt+X Q","In Windows"
"Terminal view commands","Terminal view insert","Alt+N","Terminal Typing Connected"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"Terminal view commands","Terminal view insert","Alt+E","Terminal Typing Connected"
"Source","Format","Shift+Ctrl+F","Editing Java Source"
"Navigate","Open Plug-in Artifact","Shift+Ctrl+A","In Windows"
"Run/Debug","Coverage JUnit Test","Shift+Alt+E T","In Windows"
"Views","Show View (Javadoc)","Shift+Alt+Q J","In Windows"
"File","Close","Ctrl+F4","In Windows"
"View","Zoom Out","Ctrl+-","In Windows"
"Terminal view commands","Copy","Shift+Ctrl+C","Terminal Control in Focus"
"Text Editing","To Upper Case","Shift+Ctrl+X","Editing Text"
"File","Properties","Alt+Enter","In Windows"
"Run/Debug","Execute","Ctrl+U","In Windows"
"Refactor - JavaScript","Move - Refactoring ","Shift+Alt+V","JavaScript View"
"Run/Debug","Run Android Application","Shift+Alt+A R","In Windows"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Window","Update Project","Alt+F5","In Windows"
"Text Editing","Line End","End","Editing Text"
"Refactor - JavaScript","Inline","Shift+Alt+I","JavaScript View"
"C/C++ Source","Go to Next Member","Shift+Ctrl+Down","C/C++ Editor"
"Navigate","Open Include Browser","Ctrl+Alt+I","C/C++ Editor"
"File","Rename","F2","In Windows"
"Run/Debug","Debug on Server","Shift+Alt+D R","In Windows"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"Refactor - C++","Extract Local Variable - Refactoring ","Shift+Alt+L","C/C++ Editor"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Terminal view commands","Terminal view insert","Alt+R","Terminal Typing Connected"
"Run/Debug","Step Into","F5","Debugging"
"Source","Format","Esc Ctrl+F","Editing JavaScript Source"
"Edit","Restore Last C/C++ Selection","Shift+Alt+Down","C/C++ Editor"
"C/C++ Source","References","Shift+Ctrl+G","In C/C++ Views"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Run/Debug","Debug Android Application","Shift+Alt+A D","In Windows"
"Navigate","Open Manifest","Shift+Ctrl+Alt+M","In Windows"
"Edit","Previous Sibling","Shift+Ctrl+Up","Editing in Structured Text Editors"
"Project","Rebuild Last Target","F9","In Windows"
"Text Editing","Select Next Word","Shift+Ctrl+Right","Editing Text"
"Run/Debug","Display","Shift+Ctrl+D","In Dialogs and Windows"
"Source","Show Source Quick Menu","Shift+Alt+S","In Windows"
"Terminal view commands","Paste","Shift+Ctrl+V","Terminal Control in Focus"
"Window","Next Editor","Ctrl+F6","In Windows"
"Edit","Shift Left","Shift+Tab","C/C++ Editor"
"Views","Show View (Synchronize)","Shift+Alt+Q Y","In Windows"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"Source","Quick Assist - Rename in file","Ctrl+2 R","Editing Java Source"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Run/Debug","Run XSLT Transformation","Shift+Alt+X X","In Windows"
"Focused UI","Make Less Interesting","Shift+Ctrl+Alt+Down","In Windows"
"Edit","Toggle Word Wrap","Shift+Alt+Y","Editing Text"
"Navigate","Next Page","Alt+F7","In Windows"
"Window","Previous Editor","Shift+Ctrl+F6","In Windows"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"Run/Debug","Step Over","F6","Debugging"
"Terminal view commands","Terminal view insert","Alt+B","Terminal Typing Connected"
"Text Editing","Zoom Out","Ctrl+-","Editing Text"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Source","Add Block Comment","Shift+Ctrl+/","Editing Java Source"
"Navigate","Open Declaration","F3","JavaScript View"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Uncategorized","Add Artifact to Target Platform","Shift+Ctrl+Alt+A","In Windows"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"Edit","Format","Shift+Ctrl+F","Editing in Structured Text Editors"
"Edit","Rename","Shift+Alt+R","Editing JSP Source"
"Source","Correct Indentation","Ctrl+I","Editing Java Source"
"Edit","Next Sibling","Shift+Ctrl+Down","Editing in Structured Text Editors"
"Window","Select Maven Profiles","Ctrl+Alt+P","In Windows"
"C/C++ Source","Toggle Comment","Shift+Ctrl+C","C/C++ Editor"
"Source","Toggle Comment","Shift+Ctrl+C","Editing JavaScript Source"
"Reverse Debugging Commands","Reverse Step Into","Shift+F5","Debugging C/C++"
"Uncategorized","Show Markup Cheat Sheet","F1","WikiText Markup Source Context"
"Spy","Plug-in Menu Spy","Shift+Alt+F2","In Dialogs and Windows"
"Text Editing","Reset Structure","Shift+Ctrl+Numpad_Multiply","Editing Text"
"Source","Rename In File","Shift+Alt+R","Editing Ant Buildfiles"
"Source","Remove Block Comment","Shift+Ctrl+\","Editing JavaScript Source"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"View","Zoom In","Ctrl+=","In Windows"
"Task Repositories","Mark Task Read","Shift+Alt+R","In Tasks View"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"C/C++ Source","Toggle Comment","Ctrl+/","C/C++ Editor"
"Refactor - C++","Rename - Refactoring ","Shift+Alt+R","C/C++ Editor"
"Search","References in Workspace","Shift+Ctrl+G","In Windows"
"Source","Show Source Quick Menu","Shift+Alt+S","JavaScript View"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Run/Debug","Next Page of Memory","Shift+Ctrl+.","In Table Memory Rendering"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Edit","Quick Diff Toggle","Shift+Ctrl+Q","Editing Text"
"Source","Add Import","Shift+Ctrl+M","Editing Java Source"
"Task Repositories","Mark Task Incomplete","Shift+Alt+I","In Tasks View"
"Edit","Delete","Delete","In Windows"
"Source","Quick Assist - Assign to field","Ctrl+2 F","Editing Java Source"
"Navigate","Activate Task","Ctrl+F9","In Windows"
"Text Editing","Zoom In","Ctrl+=","Editing Text"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Source","Format","Shift+Ctrl+F","Editing Ant Buildfiles"
"Views","Show View (Problems)","Shift+Alt+Q X","In Windows"
"Source","Add Javadoc Comment","Shift+Alt+J","In Windows"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing Java Source"
"Terminal view commands","Terminal view insert","Alt+G","Terminal Typing Connected"
"Run/Debug","Run JUnit Test","Shift+Alt+X T","In Windows"
"Run/Debug","Inspect","Shift+Ctrl+I","In Dialogs and Windows"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Navigate","Go To Next Unread Task","Alt+Down","In Tasks View"
"Manifest Editor Source","Format Source","Shift+Ctrl+F","PDE editor"
